СТИК.461531.001-01 (эталон) : Блок навигации и посадки ИРК-2-21 : 

"Тип объекта";"Обозначение";"Наименование";"Версия";"Количество";"Ед.изм.";"Тип";"Источник";"Стандартное";"Состояние";"Основная ед.изм.";"Код 1";"Код 2"
"Версия изделия : Сборочная единица";"СТИК.687265.011";"Плата печатная";"";"1.00";"Штука";"Сборочная единица";"Изготовляемое";"";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"СТИК.732311.001";"Корпус";"";"1.00";"Штука";"Деталь";"Изготовляемое";"";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"СТИК.732311.002";"Полка";"";"1.00";"Штука";"Деталь";"Изготовляемое";"";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"СТИК.741134.527";"Крышка";"";"1.00";"Штука";"Деталь";"Изготовляемое";"";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"СТИК.741522.016";"Сухарь";"";"2.00";"Штука";"Деталь";"Изготовляемое";"";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"СТИК.741138.094";"Пластина";"";"1.00";"Штука";"Деталь";"Изготовляемое";"";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"СТИК.715133.008-01";"Колонка";"";"8.00";"Штука";"Деталь";"Изготовляемое";"";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"СТИК.715133.009-01";"Колонка";"";"4.00";"Штука";"Деталь";"Изготовляемое";"";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"СТИК.713163.001";"Колонка межплатная";"";"4.00";"Штука";"Деталь";"Изготовляемое";"";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"СТИК.745464.021-07";"Хомут";"";"4.00";"Штука";"Деталь";"Изготовляемое";"";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"СТИК.745464.024";"Хомут специальный";"";"2.00";"Штука";"Деталь";"Изготовляемое";"";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"СТИК.758491.074";"Шайба специальная";"";"8.00";"Штука";"Деталь";"Изготовляемое";"";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"СТИК.758121.012";"Винт 4-40-UNC";"";"2.00";"Штука";"Деталь";"Не известно";"";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"СТИК.758121.013";"Винт 2-56-UNC";"";"2.00";"Штука";"Деталь";"Не известно";"";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"СТИК.713111.004";"Заглушка";"";"1.00";"Штука";"Деталь";"Изготовляемое";"";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"2,5-8-Кд ОСТ 1 31528-80";"Винт";"";"4.00";"Штука";"Деталь";"Покупное";"Да";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"2,5-8-Кд ОСТ 1 31542-80";"Винт";"";"4.00";"Штука";"Деталь";"Покупное";"Да";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"3-10-Кд ОСТ 1 31542-80";"Винт";"";"4.00";"Штука";"Деталь";"Покупное";"Да";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"2,5-Кд ОСТ 1 33033-80";"Гайка";"";"2.00";"Штука";"Деталь";"Покупное";"Да";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"0,5-2-4-Кд ОСТ 1 34505-80";"Шайба";"";"4.00";"Штука";"Деталь";"Покупное";"Да";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"0,5-2,5-5-Кд ОСТ 1 34505-80";"Шайба";"";"14.00";"Штука";"Деталь";"Покупное";"Да";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"2-1,0-4,0-14 ГОСТ 16840-78";"Лепесток";"";"5.00";"Штука";"Деталь";"Покупное";"Да";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"2-1,2-6,0-18-00 ГОСТ 16840-78";"Лепесток";"";"3.00";"Штука";"Деталь";"Покупное";"Да";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"1-3-2,2х16 ГОСТ 22375-77";"Лепесток";"";"2.00";"Штука";"Деталь";"Покупное";"Да";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"2-5-Бп ОСТ 1 34080-85";"Заклепка";"";"1.00";"Штука";"Деталь";"Покупное";"Да";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"М5 800-7667-100";"Гайка";"";"4.00";"Штука";"Деталь";"Не известно";"Да";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"М5 800-7668-100";"Шайба";"";"4.00";"Штука";"Деталь";"Не известно";"Да";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"M5 800-7667-100 ф.""Amphenol""";"Шайба пружинная";"";"4.00";"Штука";"Деталь";"Покупное";"Да";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"564-0527-000 ф.""Amphenol""";"Кодовый штырь";"";"2.00";"Штука";"Деталь";"Не известно";"Да";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"564-0528-000";"Кодовый штырь";"";"2.00";"Штука";"Деталь";"Не известно";"Да";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"VJ773-10006 ф.""Amphenol""";"Соединитель";"";"1.00";"Штука";"Деталь";"Покупное";"";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"VJ779-10004";"Соединитель";"";"1.00";"Штука";"Деталь";"Не известно";"";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"S6NW2ZPB2(A)0135-15";"Соединитель";"";"1.00";"Штука";"Деталь";"Покупное";"";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"CF81/431-03";"Контакт";"";"2.00";"Штука";"Деталь";"Покупное";"Да";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"S7-RFP-1#B2";"Контакт";"";"2.00";"Штука";"Деталь";"Не известно";"Да";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"2030-23T-SM";"Разрядник";"";"19.00";"Штука";"Деталь";"Покупное";"Да";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"TBU-CA085-200-WH";"Предохранитель";"";"26.00";"Штука";"Деталь";"Покупное";"";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"SMCJ40CA";"Диод";"";"53.00";"Штука";"Деталь";"Покупное";"Да";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"5.0 SMDJ36CA";"Диод";"";"2.00";"Штука";"Деталь";"Покупное";"Да";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"CDSOT23-SM 712 ""Bourns""";"Диод";"";"3.00";"Штука";"Деталь";"Покупное";"Да";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"PESD12VL2BT";"Диод";"";"10.00";"Штука";"Деталь";"Покупное";"Да";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"CN2220K30E2GK2";"Варистор";"";"2.00";"Штука";"Деталь";"Не известно";"Да";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"Б26-2-500В-15А 0,33мкф +50/-20%-H50 АЖЯР.431145.005 ТУ";"Фильтр";"";"4.00";"Штука";"Деталь";"Покупное";"Да";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"MMB 0207 C1009FB200";"Резистор";"";"12.00";"Штука";"Деталь";"Покупное";"Да";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"MMB 0207 C4700FB200";"Резистор";"";"51.00";"Штука";"Деталь";"Покупное";"Да";"В разработке";"Штука";"";""
